region_code,weather_param,year, key, value
UK,Tmax,1920,Win,7.28
UK,Tmax,1921,Jan,8.4
UK,Tmax,1921,Feb,7.2
UK,Tmax,1921,March,9.4
UK,Tmax,1921,Apr,12.0
UK,Tmax,1921,May,14.9
UK,Tmax,1921,June,18.2
UK,Tmax,1921,July,21.5
UK,Tmax,1921,Aug,17.7
UK,Tmax,1921,Sep,17.3
UK,Tmax,1921,Oct,15.6
UK,Tmax,1921,Nov,7.3
UK,Tmax,1921,Dec,8.6
UK,Tmax,1921,Win,7.27
UK,Tmax,1922,Jan,5.5
UK,Tmax,1922,Feb,6.6
UK,Tmax,1922,March,7.2
UK,Tmax,1922,Apr,8.7
UK,Tmax,1922,May,15.8
UK,Tmax,1922,June,16.8
UK,Tmax,1922,July,16.2
UK,Tmax,1922,Aug,16.1
UK,Tmax,1922,Sep,14.8
UK,Tmax,1922,Oct,11.2
UK,Tmax,1922,Nov,8.5
UK,Tmax,1922,Dec,7.2
UK,Tmax,1922,Win,6.90
UK,Tmax,1923,Jan,7.7
UK,Tmax,1923,Feb,6.8
UK,Tmax,1923,March,9.1
UK,Tmax,1923,Apr,10.0
UK,Tmax,1923,May,12.0
UK,Tmax,1923,June,15.1
UK,Tmax,1923,July,19.8
UK,Tmax,1923,Aug,17.8
UK,Tmax,1923,Sep,15.2
UK,Tmax,1923,Oct,11.7
UK,Tmax,1923,Nov,5.8
UK,Tmax,1923,Dec,5.8
UK,Tmax,1923,Win,7.23
UK,Tmax,1924,Jan,6.3
UK,Tmax,1924,Feb,5.4
UK,Tmax,1924,March,7.2
UK,Tmax,1924,Apr,10.1
UK,Tmax,1924,May,13.6
UK,Tmax,1924,June,16.4
UK,Tmax,1924,July,18.0
UK,Tmax,1924,Aug,16.7
UK,Tmax,1924,Sep,15.3
UK,Tmax,1924,Oct,12.3
UK,Tmax,1924,Nov,9.1
UK,Tmax,1924,Dec,8.4
UK,Tmax,1924,Win,5.83
UK,Tmax,1925,Jan,7.1
UK,Tmax,1925,Feb,6.7
UK,Tmax,1925,March,7.3
UK,Tmax,1925,Apr,10.3
UK,Tmax,1925,May,14.0
UK,Tmax,1925,June,18.5
UK,Tmax,1925,July,19.9
UK,Tmax,1925,Aug,18.2
UK,Tmax,1925,Sep,14.1
UK,Tmax,1925,Oct,12.9
UK,Tmax,1925,Nov,6.4
UK,Tmax,1925,Dec,4.8
UK,Tmax,1925,Win,7.44
UK,Tmax,1926,Jan,6.5
UK,Tmax,1926,Feb,8.1
UK,Tmax,1926,March,8.7
UK,Tmax,1926,Apr,12.2
UK,Tmax,1926,May,13.1
UK,Tmax,1926,June,16.7
UK,Tmax,1926,July,19.7
UK,Tmax,1926,Aug,19.2
UK,Tmax,1926,Sep,17.0
UK,Tmax,1926,Oct,10.5
UK,Tmax,1926,Nov,8.0
UK,Tmax,1926,Dec,6.3
UK,Tmax,1926,Win,6.40
UK,Tmax,1927,Jan,6.4
UK,Tmax,1927,Feb,6.7
UK,Tmax,1927,March,9.4
UK,Tmax,1927,Apr,10.5
UK,Tmax,1927,May,14.1
UK,Tmax,1927,June,15.1
UK,Tmax,1927,July,18.3
UK,Tmax,1927,Aug,18.3
UK,Tmax,1927,Sep,14.7
UK,Tmax,1927,Oct,12.9
UK,Tmax,1927,Nov,8.1
UK,Tmax,1927,Dec,3.5
UK,Tmax,1927,Win,6.47
UK,Tmax,1928,Jan,7.2
UK,Tmax,1928,Feb,8.0
UK,Tmax,1928,March,7.9
UK,Tmax,1928,Apr,11.0
UK,Tmax,1928,May,14.0
UK,Tmax,1928,June,15.5
UK,Tmax,1928,July,18.7
UK,Tmax,1928,Aug,18.0
UK,Tmax,1928,Sep,16.0
UK,Tmax,1928,Oct,12.5
UK,Tmax,1928,Nov,9.6
UK,Tmax,1928,Dec,5.8
UK,Tmax,1928,Win,6.18
UK,Tmax,1929,Jan,3.5
UK,Tmax,1929,Feb,2.9
UK,Tmax,1929,March,11.1
UK,Tmax,1929,Apr,9.8
UK,Tmax,1929,May,14.8
UK,Tmax,1929,June,16.3
UK,Tmax,1929,July,19.1
UK,Tmax,1929,Aug,17.8
UK,Tmax,1929,Sep,18.5
UK,Tmax,1929,Oct,11.8
UK,Tmax,1929,Nov,8.9
UK,Tmax,1929,Dec,7.3
UK,Tmax,1929,Win,4.13
UK,Tmax,1930,Jan,7.1
UK,Tmax,1930,Feb,4.4
UK,Tmax,1930,March,7.5
UK,Tmax,1930,Apr,10.6
UK,Tmax,1930,May,13.7
UK,Tmax,1930,June,18.6
UK,Tmax,1930,July,17.7
UK,Tmax,1930,Aug,18.3
UK,Tmax,1930,Sep,15.8
UK,Tmax,1930,Oct,12.4
UK,Tmax,1930,Nov,8.3
UK,Tmax,1930,Dec,6.3
UK,Tmax,1930,Win,6.31
UK,Tmax,1931,Jan,5.4
UK,Tmax,1931,Feb,5.8
UK,Tmax,1931,March,6.8
UK,Tmax,1931,Apr,10.1
UK,Tmax,1931,May,14.1
UK,Tmax,1931,June,16.4
UK,Tmax,1931,July,17.6
UK,Tmax,1931,Aug,17.1
UK,Tmax,1931,Sep,14.5
UK,Tmax,1931,Oct,12.0
UK,Tmax,1931,Nov,9.6
UK,Tmax,1931,Dec,7.5
UK,Tmax,1931,Win,5.82
UK,Tmax,1932,Jan,8.5
UK,Tmax,1932,Feb,6.1
UK,Tmax,1932,March,7.8
UK,Tmax,1932,Apr,9.4
UK,Tmax,1932,May,12.8
UK,Tmax,1932,June,17.6
UK,Tmax,1932,July,18.3
UK,Tmax,1932,Aug,19.6
UK,Tmax,1932,Sep,15.6
UK,Tmax,1932,Oct,11.1
UK,Tmax,1932,Nov,8.4
UK,Tmax,1932,Dec,7.3
UK,Tmax,1932,Win,7.38
UK,Tmax,1933,Jan,4.7
UK,Tmax,1933,Feb,6.2
UK,Tmax,1933,March,10.6
UK,Tmax,1933,Apr,12.0
UK,Tmax,1933,May,14.8
UK,Tmax,1933,June,19.0
UK,Tmax,1933,July,20.9
UK,Tmax,1933,Aug,20.6
UK,Tmax,1933,Sep,18.3
UK,Tmax,1933,Oct,12.4
UK,Tmax,1933,Nov,7.7
UK,Tmax,1933,Dec,4.2
UK,Tmax,1933,Win,6.09
UK,Tmax,1934,Jan,6.9
UK,Tmax,1934,Feb,7.1
UK,Tmax,1934,March,7.6
UK,Tmax,1934,Apr,10.2
UK,Tmax,1934,May,14.5
UK,Tmax,1934,June,18.3
UK,Tmax,1934,July,21.5
UK,Tmax,1934,Aug,18.2
UK,Tmax,1934,Sep,17.4
UK,Tmax,1934,Oct,12.3
UK,Tmax,1934,Nov,8.0
UK,Tmax,1934,Dec,8.9
UK,Tmax,1934,Win,6.06
UK,Tmax,1935,Jan,6.5
UK,Tmax,1935,Feb,7.4
UK,Tmax,1935,March,9.2
UK,Tmax,1935,Apr,10.6
UK,Tmax,1935,May,13.9
UK,Tmax,1935,June,17.4
UK,Tmax,1935,July,20.3
UK,Tmax,1935,Aug,20.0
UK,Tmax,1935,Sep,15.9
UK,Tmax,1935,Oct,11.7
UK,Tmax,1935,Nov,8.5
UK,Tmax,1935,Dec,4.7
UK,Tmax,1935,Win,7.62
UK,Tmax,1936,Jan,5.2
UK,Tmax,1936,Feb,4.8
UK,Tmax,1936,March,8.9
UK,Tmax,1936,Apr,9.4
UK,Tmax,1936,May,14.7
UK,Tmax,1936,June,17.9
UK,Tmax,1936,July,17.7
UK,Tmax,1936,Aug,19.1
UK,Tmax,1936,Sep,16.7
UK,Tmax,1936,Oct,12.3
UK,Tmax,1936,Nov,8.0
UK,Tmax,1936,Dec,7.4
UK,Tmax,1936,Win,4.89
UK,Tmax,1937,Jan,6.9
UK,Tmax,1937,Feb,6.7
UK,Tmax,1937,March,5.6
UK,Tmax,1937,Apr,11.4
UK,Tmax,1937,May,15.3
UK,Tmax,1937,June,17.0
UK,Tmax,1937,July,18.4
UK,Tmax,1937,Aug,19.9
UK,Tmax,1937,Sep,16.2
UK,Tmax,1937,Oct,12.7
UK,Tmax,1937,Nov,7.9
UK,Tmax,1937,Dec,4.8
UK,Tmax,1937,Win,7.01
UK,Tmax,1938,Jan,7.4
UK,Tmax,1938,Feb,7.0
UK,Tmax,1938,March,11.9
UK,Tmax,1938,Apr,11.5
UK,Tmax,1938,May,13.7
UK,Tmax,1938,June,16.8
UK,Tmax,1938,July,17.7
UK,Tmax,1938,Aug,18.9
UK,Tmax,1938,Sep,16.5
UK,Tmax,1938,Oct,12.6
UK,Tmax,1938,Nov,10.6
UK,Tmax,1938,Dec,6.1
UK,Tmax,1938,Win,6.37
UK,Tmax,1939,Jan,5.6
UK,Tmax,1939,Feb,7.8
UK,Tmax,1939,March,8.2
UK,Tmax,1939,Apr,11.5
UK,Tmax,1939,May,14.7
UK,Tmax,1939,June,17.9
UK,Tmax,1939,July,17.7
UK,Tmax,1939,Aug,19.3
UK,Tmax,1939,Sep,16.9
UK,Tmax,1939,Oct,11.1
UK,Tmax,1939,Nov,10.1
UK,Tmax,1939,Dec,5.3
UK,Tmax,1939,Win,6.46
UK,Tmax,1940,Jan,2.0
UK,Tmax,1940,Feb,4.6
UK,Tmax,1940,March,8.5
UK,Tmax,1940,Apr,11.1
UK,Tmax,1940,May,16.3
UK,Tmax,1940,June,20.6
UK,Tmax,1940,July,17.7
UK,Tmax,1940,Aug,18.6
UK,Tmax,1940,Sep,15.8
UK,Tmax,1940,Oct,12.0
UK,Tmax,1940,Nov,8.8
UK,Tmax,1940,Dec,6.0
UK,Tmax,1940,Win,3.94
UK,Tmax,1941,Jan,2.2
UK,Tmax,1941,Feb,5.3
UK,Tmax,1941,March,7.5
UK,Tmax,1941,Apr,9.0
UK,Tmax,1941,May,12.7
UK,Tmax,1941,June,18.2
UK,Tmax,1941,July,20.1
UK,Tmax,1941,Aug,17.3
UK,Tmax,1941,Sep,17.5
UK,Tmax,1941,Oct,12.9
UK,Tmax,1941,Nov,8.7
UK,Tmax,1941,Dec,7.6
UK,Tmax,1941,Win,4.46
UK,Tmax,1942,Jan,3.6
UK,Tmax,1942,Feb,3.0
UK,Tmax,1942,March,7.5
UK,Tmax,1942,Apr,12.5
UK,Tmax,1942,May,14.5
UK,Tmax,1942,June,17.6
UK,Tmax,1942,July,18.2
UK,Tmax,1942,Aug,18.7
UK,Tmax,1942,Sep,16.1
UK,Tmax,1942,Oct,12.6
UK,Tmax,1942,Nov,7.9
UK,Tmax,1942,Dec,8.4
UK,Tmax,1942,Win,4.81
UK,Tmax,1943,Jan,6.5
UK,Tmax,1943,Feb,8.3
UK,Tmax,1943,March,9.9
UK,Tmax,1943,Apr,13.3
UK,Tmax,1943,May,15.2
UK,Tmax,1943,June,17.3
UK,Tmax,1943,July,19.4
UK,Tmax,1943,Aug,18.0
UK,Tmax,1943,Sep,15.8
UK,Tmax,1943,Oct,13.3
UK,Tmax,1943,Nov,8.4
UK,Tmax,1943,Dec,6.0
UK,Tmax,1943,Win,7.70
UK,Tmax,1944,Jan,7.9
UK,Tmax,1944,Feb,5.8
UK,Tmax,1944,March,8.4
UK,Tmax,1944,Apr,12.9
UK,Tmax,1944,May,14.5
UK,Tmax,1944,June,16.3
UK,Tmax,1944,July,18.6
UK,Tmax,1944,Aug,20.0
UK,Tmax,1944,Sep,15.2
UK,Tmax,1944,Oct,11.4
UK,Tmax,1944,Nov,8.0
UK,Tmax,1944,Dec,5.9
UK,Tmax,1944,Win,6.58
UK,Tmax,1945,Jan,2.7
UK,Tmax,1945,Feb,8.9
UK,Tmax,1945,March,11.0
UK,Tmax,1945,Apr,13.1
UK,Tmax,1945,May,15.1
UK,Tmax,1945,June,17.2
UK,Tmax,1945,July,19.4
UK,Tmax,1945,Aug,18.9
UK,Tmax,1945,Sep,16.8
UK,Tmax,1945,Oct,14.4
UK,Tmax,1945,Nov,9.4
UK,Tmax,1945,Dec,7.2
UK,Tmax,1945,Win,5.72
UK,Tmax,1946,Jan,5.4
UK,Tmax,1946,Feb,7.5
UK,Tmax,1946,March,8.3
UK,Tmax,1946,Apr,13.2
UK,Tmax,1946,May,14.2
UK,Tmax,1946,June,15.9
UK,Tmax,1946,July,18.7
UK,Tmax,1946,Aug,17.2
UK,Tmax,1946,Sep,16.0
UK,Tmax,1946,Oct,11.8
UK,Tmax,1946,Nov,9.6
UK,Tmax,1946,Dec,5.5
UK,Tmax,1946,Win,6.66
UK,Tmax,1947,Jan,4.3
UK,Tmax,1947,Feb,0.1
UK,Tmax,1947,March,5.3
UK,Tmax,1947,Apr,11.0
UK,Tmax,1947,May,16.2
UK,Tmax,1947,June,18.0
UK,Tmax,1947,July,19.3
UK,Tmax,1947,Aug,22.7
UK,Tmax,1947,Sep,17.6
UK,Tmax,1947,Oct,13.8
UK,Tmax,1947,Nov,9.0
UK,Tmax,1947,Dec,6.8
UK,Tmax,1947,Win,3.41
UK,Tmax,1948,Jan,6.4
UK,Tmax,1948,Feb,6.6
UK,Tmax,1948,March,11.8
UK,Tmax,1948,Apr,12.2
UK,Tmax,1948,May,15.2
UK,Tmax,1948,June,16.2
UK,Tmax,1948,July,18.3
UK,Tmax,1948,Aug,17.2
UK,Tmax,1948,Sep,16.0
UK,Tmax,1948,Oct,12.4
UK,Tmax,1948,Nov,9.7
UK,Tmax,1948,Dec,7.6
UK,Tmax,1948,Win,6.57
UK,Tmax,1949,Jan,7.4
UK,Tmax,1949,Feb,8.3
UK,Tmax,1949,March,7.9
UK,Tmax,1949,Apr,12.7
UK,Tmax,1949,May,14.5
UK,Tmax,1949,June,18.6
UK,Tmax,1949,July,20.4
UK,Tmax,1949,Aug,19.6
UK,Tmax,1949,Sep,18.8
UK,Tmax,1949,Oct,14.0
UK,Tmax,1949,Nov,8.8
UK,Tmax,1949,Dec,7.3
UK,Tmax,1949,Win,7.74
UK,Tmax,1950,Jan,6.3
UK,Tmax,1950,Feb,7.1
UK,Tmax,1950,March,10.3
UK,Tmax,1950,Apr,10.2
UK,Tmax,1950,May,14.3
UK,Tmax,1950,June,19.1
UK,Tmax,1950,July,18.6
UK,Tmax,1950,Aug,18.4
UK,Tmax,1950,Sep,15.0
UK,Tmax,1950,Oct,11.9
UK,Tmax,1950,Nov,7.5
UK,Tmax,1950,Dec,3.0
UK,Tmax,1950,Win,6.91
UK,Tmax,1951,Jan,5.4
UK,Tmax,1951,Feb,5.3
UK,Tmax,1951,March,6.3
UK,Tmax,1951,Apr,9.5
UK,Tmax,1951,May,12.8
UK,Tmax,1951,June,17.0
UK,Tmax,1951,July,19.0
UK,Tmax,1951,Aug,17.3
UK,Tmax,1951,Sep,16.5
UK,Tmax,1951,Oct,12.8
UK,Tmax,1951,Nov,10.0
UK,Tmax,1951,Dec,7.5
UK,Tmax,1951,Win,4.53
UK,Tmax,1952,Jan,4.5
UK,Tmax,1952,Feb,5.9
UK,Tmax,1952,March,8.6
UK,Tmax,1952,Apr,12.8
UK,Tmax,1952,May,16.2
UK,Tmax,1952,June,16.8
UK,Tmax,1952,July,19.3
UK,Tmax,1952,Aug,18.4
UK,Tmax,1952,Sep,13.6
UK,Tmax,1952,Oct,11.3
UK,Tmax,1952,Nov,6.2
UK,Tmax,1952,Dec,5.3
UK,Tmax,1952,Win,5.94
UK,Tmax,1953,Jan,5.7
UK,Tmax,1953,Feb,6.7
UK,Tmax,1953,March,9.8
UK,Tmax,1953,Apr,10.3
UK,Tmax,1953,May,15.7
UK,Tmax,1953,June,17.1
UK,Tmax,1953,July,17.9
UK,Tmax,1953,Aug,18.8
UK,Tmax,1953,Sep,16.6
UK,Tmax,1953,Oct,12.7
UK,Tmax,1953,Nov,10.1
UK,Tmax,1953,Dec,8.5
UK,Tmax,1953,Win,5.88
UK,Tmax,1954,Jan,5.1
UK,Tmax,1954,Feb,4.6
UK,Tmax,1954,March,8.0
UK,Tmax,1954,Apr,11.2
UK,Tmax,1954,May,14.3
UK,Tmax,1954,June,15.9
UK,Tmax,1954,July,16.4
UK,Tmax,1954,Aug,16.8
UK,Tmax,1954,Sep,15.1
UK,Tmax,1954,Oct,13.5
UK,Tmax,1954,Nov,9.0
UK,Tmax,1954,Dec,8.1
UK,Tmax,1954,Win,6.10
UK,Tmax,1955,Jan,4.3
UK,Tmax,1955,Feb,3.2
UK,Tmax,1955,March,6.3
UK,Tmax,1955,Apr,12.7
UK,Tmax,1955,May,12.7
UK,Tmax,1955,June,16.5
UK,Tmax,1955,July,21.3
UK,Tmax,1955,Aug,21.2
UK,Tmax,1955,Sep,17.2
UK,Tmax,1955,Oct,12.0
UK,Tmax,1955,Nov,9.4
UK,Tmax,1955,Dec,7.4
UK,Tmax,1955,Win,5.29
UK,Tmax,1956,Jan,5.4
UK,Tmax,1956,Feb,3.0
UK,Tmax,1956,March,9.0
UK,Tmax,1956,Apr,10.3
UK,Tmax,1956,May,15.4
UK,Tmax,1956,June,15.9
UK,Tmax,1956,July,18.0
UK,Tmax,1956,Aug,15.9
UK,Tmax,1956,Sep,16.4
UK,Tmax,1956,Oct,12.1
UK,Tmax,1956,Nov,8.4
UK,Tmax,1956,Dec,7.6
UK,Tmax,1956,Win,5.32
UK,Tmax,1957,Jan,7.5
UK,Tmax,1957,Feb,7.0
UK,Tmax,1957,March,11.2
UK,Tmax,1957,Apr,11.9
UK,Tmax,1957,May,13.9
UK,Tmax,1957,June,19.0
UK,Tmax,1957,July,18.4
UK,Tmax,1957,Aug,17.8
UK,Tmax,1957,Sep,14.6
UK,Tmax,1957,Oct,13.1
UK,Tmax,1957,Nov,8.3
UK,Tmax,1957,Dec,6.8
UK,Tmax,1957,Win,7.36
UK,Tmax,1958,Jan,5.6
UK,Tmax,1958,Feb,6.6
UK,Tmax,1958,March,5.8
UK,Tmax,1958,Apr,10.4
UK,Tmax,1958,May,13.8
UK,Tmax,1958,June,16.4
UK,Tmax,1958,July,18.4
UK,Tmax,1958,Aug,18.1
UK,Tmax,1958,Sep,17.5
UK,Tmax,1958,Oct,13.0
UK,Tmax,1958,Nov,8.8
UK,Tmax,1958,Dec,6.4
UK,Tmax,1958,Win,6.31
UK,Tmax,1959,Jan,4.0
UK,Tmax,1959,Feb,6.9
UK,Tmax,1959,March,9.6
UK,Tmax,1959,Apr,11.9
UK,Tmax,1959,May,16.3
UK,Tmax,1959,June,18.2
UK,Tmax,1959,July,20.1
UK,Tmax,1959,Aug,20.2
UK,Tmax,1959,Sep,18.8
UK,Tmax,1959,Oct,15.4
UK,Tmax,1959,Nov,9.2
UK,Tmax,1959,Dec,7.5
UK,Tmax,1959,Win,5.72
UK,Tmax,1960,Jan,5.8
UK,Tmax,1960,Feb,5.8
UK,Tmax,1960,March,8.1
UK,Tmax,1960,Apr,12.1
UK,Tmax,1960,May,16.2
UK,Tmax,1960,June,19.3
UK,Tmax,1960,July,17.7
UK,Tmax,1960,Aug,17.7
UK,Tmax,1960,Sep,15.7
UK,Tmax,1960,Oct,12.1
UK,Tmax,1960,Nov,9.0
UK,Tmax,1960,Dec,5.6
UK,Tmax,1960,Win,6.39
UK,Tmax,1961,Jan,5.4
UK,Tmax,1961,Feb,8.6
UK,Tmax,1961,March,11.2
UK,Tmax,1961,Apr,12.0
UK,Tmax,1961,May,14.1
UK,Tmax,1961,June,17.4
UK,Tmax,1961,July,17.5
UK,Tmax,1961,Aug,18.0
UK,Tmax,1961,Sep,17.4
UK,Tmax,1961,Oct,13.0
UK,Tmax,1961,Nov,8.1
UK,Tmax,1961,Dec,4.6
UK,Tmax,1961,Win,6.48
UK,Tmax,1962,Jan,6.5
UK,Tmax,1962,Feb,6.7
UK,Tmax,1962,March,5.6
UK,Tmax,1962,Apr,10.6
UK,Tmax,1962,May,12.9
UK,Tmax,1962,June,16.9
UK,Tmax,1962,July,17.2
UK,Tmax,1962,Aug,16.7
UK,Tmax,1962,Sep,14.8
UK,Tmax,1962,Oct,13.1
UK,Tmax,1962,Nov,7.5
UK,Tmax,1962,Dec,5.0
UK,Tmax,1962,Win,5.88
UK,Tmax,1963,Jan,0.9
UK,Tmax,1963,Feb,1.9
UK,Tmax,1963,March,8.4
UK,Tmax,1963,Apr,10.8
UK,Tmax,1963,May,13.3
UK,Tmax,1963,June,17.5
UK,Tmax,1963,July,17.8
UK,Tmax,1963,Aug,16.5
UK,Tmax,1963,Sep,15.6
UK,Tmax,1963,Oct,13.0
UK,Tmax,1963,Nov,9.3
UK,Tmax,1963,Dec,5.0
UK,Tmax,1963,Win,2.63
UK,Tmax,1964,Jan,5.8
UK,Tmax,1964,Feb,6.4
UK,Tmax,1964,March,6.2
UK,Tmax,1964,Apr,11.2
UK,Tmax,1964,May,15.8
UK,Tmax,1964,June,16.3
UK,Tmax,1964,July,18.4
UK,Tmax,1964,Aug,18.1
UK,Tmax,1964,Sep,17.0
UK,Tmax,1964,Oct,11.7
UK,Tmax,1964,Nov,9.4
UK,Tmax,1964,Dec,5.8
UK,Tmax,1964,Win,5.71
UK,Tmax,1965,Jan,5.1
UK,Tmax,1965,Feb,5.4
UK,Tmax,1965,March,7.9
UK,Tmax,1965,Apr,11.1
UK,Tmax,1965,May,14.0
UK,Tmax,1965,June,17.0
UK,Tmax,1965,July,16.2
UK,Tmax,1965,Aug,17.5
UK,Tmax,1965,Sep,14.7
UK,Tmax,1965,Oct,13.4
UK,Tmax,1965,Nov,6.4
UK,Tmax,1965,Dec,6.2
UK,Tmax,1965,Win,5.44
UK,Tmax,1966,Jan,4.4
UK,Tmax,1966,Feb,6.4
UK,Tmax,1966,March,9.0
UK,Tmax,1966,Apr,9.0
UK,Tmax,1966,May,14.2
UK,Tmax,1966,June,17.8
UK,Tmax,1966,July,17.6
UK,Tmax,1966,Aug,17.4
UK,Tmax,1966,Sep,16.4
UK,Tmax,1966,Oct,12.2
UK,Tmax,1966,Nov,7.3
UK,Tmax,1966,Dec,7.1
UK,Tmax,1966,Win,5.65
UK,Tmax,1967,Jan,6.1
UK,Tmax,1967,Feb,7.3
UK,Tmax,1967,March,9.0
UK,Tmax,1967,Apr,10.6
UK,Tmax,1967,May,12.7
UK,Tmax,1967,June,17.4
UK,Tmax,1967,July,19.0
UK,Tmax,1967,Aug,18.2
UK,Tmax,1967,Sep,16.0
UK,Tmax,1967,Oct,12.3
UK,Tmax,1967,Nov,8.0
UK,Tmax,1967,Dec,6.3
UK,Tmax,1967,Win,6.82
UK,Tmax,1968,Jan,6.2
UK,Tmax,1968,Feb,4.0
UK,Tmax,1968,March,8.7
UK,Tmax,1968,Apr,11.2
UK,Tmax,1968,May,12.4
UK,Tmax,1968,June,17.8
UK,Tmax,1968,July,17.4
UK,Tmax,1968,Aug,18.1
UK,Tmax,1968,Sep,16.0
